lang_id,verb_id,tense_id,subject_id,conj
1,1,1,1,am
1,1,2,1,will be
1,1,3,1,was
1,1,4,1,would be
1,1,5,1,am being
1,1,6,1,will be being
1,1,7,1,was being
1,1,8,1,would be being
1,1,9,1,have been
1,1,10,1,will have been
1,1,11,1,had been
1,1,12,1,would have been
1,1,13,1,have been being
1,1,14,1,will have been being
1,1,15,1,had been being
1,1,16,1,would have been being
1,2,1,1,have
1,2,2,1,will have
1,2,3,1,had
1,2,4,1,would have
1,2,5,1,am having
1,2,6,1,will be having
1,2,7,1,was having
1,2,8,1,would be having
1,2,9,1,have had
1,2,10,1,will have had
1,2,11,1,had had
1,2,12,1,would have had
1,2,13,1,have been having
1,2,14,1,will have been having
1,2,15,1,had been having
1,2,16,1,would have been having
1,3,1,1,do
1,3,2,1,will do
1,3,3,1,did
1,3,4,1,would do
1,3,5,1,am doing
1,3,6,1,will be doing
1,3,7,1,was doing
1,3,8,1,would be doing
1,3,9,1,have done
1,3,10,1,will have done
1,3,11,1,had done
1,3,12,1,would have done
1,3,13,1,have been doing
1,3,14,1,will have been doing
1,3,15,1,had been doing
1,3,16,1,would have been doing
1,4,1,1,say
1,4,2,1,will say
1,4,3,1,said
1,4,4,1,would say
1,4,5,1,am saying
1,4,6,1,will be saying
1,4,7,1,was saying
1,4,8,1,would be saying
1,4,9,1,have said
1,4,10,1,will have said
1,4,11,1,had said
1,4,12,1,would have said
1,4,13,1,have been saying
1,4,14,1,will have been saying
1,4,15,1,had been saying
1,4,16,1,would have been saying
1,5,1,1,get
1,5,2,1,will get
1,5,3,1,got
1,5,4,1,would get
1,5,5,1,am getting
1,5,6,1,will be getting
1,5,7,1,was getting
1,5,8,1,would be getting
1,5,9,1,have got
1,5,10,1,will have got
1,5,11,1,had got
1,5,12,1,would have got
1,5,13,1,have been getting
1,5,14,1,will have been getting
1,5,15,1,had been getting
1,5,16,1,would have been getting
1,6,1,1,make
1,6,2,1,will make
1,6,3,1,made
1,6,4,1,would make
1,6,5,1,am making
1,6,6,1,will be making
1,6,7,1,was making
1,6,8,1,would be making
1,6,9,1,have made
1,6,10,1,will have made
1,6,11,1,had made
1,6,12,1,would have made
1,6,13,1,have been making
1,6,14,1,will have been making
1,6,15,1,had been making
1,6,16,1,would have been making
1,7,1,1,go
1,7,2,1,will go
1,7,3,1,went
1,7,4,1,would go
1,7,5,1,am going
1,7,6,1,will be going
1,7,7,1,was going
1,7,8,1,would be going
1,7,9,1,have gone
1,7,10,1,will have gone
1,7,11,1,had gone
1,7,12,1,would have gone
1,7,13,1,have been going
1,7,14,1,will have been going
1,7,15,1,had been going
1,7,16,1,would have been going
1,8,1,1,know
1,8,2,1,will know
1,8,3,1,knew
1,8,4,1,would know
1,8,5,1,am knowing
1,8,6,1,will be knowing
1,8,7,1,was knowing
1,8,8,1,would be knowing
1,8,9,1,have known
1,8,10,1,will have known
1,8,11,1,had known
1,8,12,1,would have known
1,8,13,1,have been knowing
1,8,14,1,will have been knowing
1,8,15,1,had been knowing
1,8,16,1,would have been knowing
1,9,1,1,take
1,9,2,1,will take
1,9,3,1,took
1,9,4,1,would take
1,9,5,1,am taking
1,9,6,1,will be taking
1,9,7,1,was taking
1,9,8,1,would be taking
1,9,9,1,have taken
1,9,10,1,will have taken
1,9,11,1,had taken
1,9,12,1,would have taken
1,9,13,1,have been taking
1,9,14,1,will have been taking
1,9,15,1,had been taking
1,9,16,1,would have been taking
1,10,1,1,see
1,10,2,1,will see
1,10,3,1,saw
1,10,4,1,would see
1,10,5,1,am seeing
1,10,6,1,will be seeing
1,10,7,1,was seeing
1,10,8,1,would be seeing
1,10,9,1,have seen
1,10,10,1,will have seen
1,10,11,1,had seen
1,10,12,1,would have seen
1,10,13,1,have been seeing
1,10,14,1,will have been seeing
1,10,15,1,had been seeing
1,10,16,1,would have been seeing
1,11,1,1,come
1,11,2,1,will come
1,11,3,1,came
1,11,4,1,would come
1,11,5,1,am coming
1,11,6,1,will be coming
1,11,7,1,was coming
1,11,8,1,would be coming
1,11,9,1,have come
1,11,10,1,will have come
1,11,11,1,had come
1,11,12,1,would have come
1,11,13,1,have been coming
1,11,14,1,will have been coming
1,11,15,1,had been coming
1,11,16,1,would have been coming
1,12,1,1,think
1,12,2,1,will think
1,12,3,1,thought
1,12,4,1,would think
1,12,5,1,am thinking
1,12,6,1,will be thinking
1,12,7,1,was thinking
1,12,8,1,would be thinking 
1,12,9,1,have thought
1,12,10,1,will have thought
1,12,11,1,had thought
1,12,12,1,would have thought
1,12,13,1,have been thinking
1,12,14,1,will have been thinking
1,12,15,1,had been thinking
1,12,16,1,would have been thinking
1,13,1,1,look
1,13,2,1,will look
1,13,3,1,looked
1,13,4,1,would look
1,13,5,1,am looking
1,13,6,1,will be looking
1,13,7,1,was looking
1,13,8,1,would be looking
1,13,9,1,have looked
1,13,10,1,will have looked
1,13,11,1,had looked
1,13,12,1,would have looked
1,13,13,1,have been looking
1,13,14,1,will have been looking
1,13,15,1,had been looking
1,13,16,1,would have been looking
1,14,1,1,want
1,14,2,1,will want
1,14,3,1,wanted
1,14,4,1,would want
1,14,5,1,am wanting
1,14,6,1,will be wanting
1,14,7,1,was wanting
1,14,8,1,would be wanting 
1,14,9,1,have wanted
1,14,10,1,will have wanted
1,14,11,1,had wanted
1,14,12,1,would have wanted
1,14,13,1,have been wanting
1,14,14,1,will have been wanting
1,14,15,1,had been wanting
1,14,16,1,would have been wanting
1,15,1,1,give
1,15,2,1,will give
1,15,3,1,gave
1,15,4,1,would give
1,15,5,1,am giving
1,15,6,1,will be giving
1,15,7,1,was giving
1,15,8,1,would be giving
1,15,9,1,have given
1,15,10,1,will have given
1,15,11,1,had given
1,15,12,1,would have given
1,15,13,1,have been giving
1,15,14,1,will have been giving
1,15,15,1,had been giving
1,15,16,1,would have been giving
1,16,1,1,use
1,16,2,1,will use
1,16,3,1,used
1,16,4,1,would use
1,16,5,1,am using
1,16,6,1,will be using
1,16,7,1,was using
1,16,8,1,would be using
1,16,9,1,have used
1,16,10,1,will have used
1,16,11,1,had used
1,16,12,1,would have used
1,16,13,1,have been using
1,16,14,1,will have been using
1,16,15,1,had been using
1,16,16,1,would have been using
1,17,1,1,find
1,17,2,1,will find
1,17,3,1,found
1,17,4,1,would find
1,17,5,1,am finding
1,17,6,1,will be finding
1,17,7,1,was finding
1,17,8,1,would be finding
1,17,9,1,have found
1,17,10,1,will have found
1,17,11,1,had found
1,17,12,1,would have found
1,17,13,1,have been finding
1,17,14,1,will have been finding
1,17,15,1,had been finding
1,17,16,1,would have been finding
1,18,1,1,tell
1,18,2,1,will tell
1,18,3,1,told
1,18,4,1,would tell
1,18,5,1,am telling
1,18,6,1,will be telling
1,18,7,1,was telling
1,18,8,1,would be telling 
1,18,9,1,have told
1,18,10,1,will have told
1,18,11,1,had told
1,18,12,1,would have told
1,18,13,1,have been telling
1,18,14,1,will have been telling
1,18,15,1,had been telling
1,18,16,1,would have been telling
1,19,1,1,ask
1,19,2,1,will ask
1,19,3,1,asked
1,19,4,1,would ask
1,19,5,1,am asking
1,19,6,1,will be asking
1,19,7,1,was asking
1,19,8,1,would be asking 
1,19,9,1,have asked
1,19,10,1,will have asked
1,19,11,1,had asked
1,19,12,1,would have asked
1,19,13,1,have been asking
1,19,14,1,will have been asking
1,19,15,1,had been asking
1,19,16,1,would have been asking
1,20,1,1,work
1,20,2,1,will work
1,20,3,1,worked
1,20,4,1,would work
1,20,5,1,am working
1,20,6,1,will be working
1,20,7,1,was working
1,20,8,1,would be working
1,20,9,1,have worked
1,20,10,1,will have worked
1,20,11,1,had worked
1,20,12,1,would have worked
1,20,13,1,have been working
1,20,14,1,will have been working
1,20,15,1,had been working
1,20,16,1,would have been working
1,21,1,1,seem
1,21,2,1,will seem
1,21,3,1,seemed
1,21,4,1,would seem
1,21,5,1,am seeming
1,21,6,1,will be seeming
1,21,7,1,was seeming
1,21,8,1,would be seeming 
1,21,9,1,have seemed
1,21,10,1,will have seemed
1,21,11,1,had seemed
1,21,12,1,would have seemed
1,21,13,1,have been seeming
1,21,14,1,will have been seeming
1,21,15,1,had been seeming
1,21,16,1,would have been seeming
1,22,1,1,feel
1,22,2,1,will feel
1,22,3,1,felt
1,22,4,1,would feel
1,22,5,1,am feeling
1,22,6,1,will be feeling
1,22,7,1,was feeling
1,22,8,1,would be feeling
1,22,9,1,have felt
1,22,10,1,will have felt
1,22,11,1,had felt
1,22,12,1,would have felt
1,22,13,1,have been feeling
1,22,14,1,will have been feeling
1,22,15,1,had been feeling
1,22,16,1,would have been feeling
1,23,1,1,try
1,23,2,1,will try
1,23,3,1,tried
1,23,4,1,would try
1,23,5,1,am trying
1,23,6,1,will be trying
1,23,7,1,was trying
1,23,8,1,would be trying
1,23,9,1,have tried
1,23,10,1,will have tried
1,23,11,1,had tried
1,23,12,1,would have tried
1,23,13,1,have been trying
1,23,14,1,will have been trying
1,23,15,1,had been trying
1,23,16,1,would have been trying
1,24,1,1,leave
1,24,2,1,will leave
1,24,3,1,left
1,24,4,1,would leave
1,24,5,1,am leaving
1,24,6,1,will be leaving
1,24,7,1,was leaving
1,24,8,1,would be leaving
1,24,9,1,have left
1,24,10,1,will have left
1,24,11,1,had left
1,24,12,1,would have left
1,24,13,1,have been leaving
1,24,14,1,will have been leaving
1,24,15,1,had been leaving
1,24,16,1,would have been leaving
1,25,1,1,call
1,25,2,1,will call
1,25,3,1,called
1,25,4,1,would call
1,25,5,1,am calling
1,25,6,1,will be calling
1,25,7,1,was calling
1,25,8,1,would be calling
1,25,9,1,have called
1,25,10,1,will have called
1,25,11,1,had called
1,25,12,1,would have called
1,25,13,1,have been calling
1,25,14,1,will have been calling
1,25,15,1,had been calling
1,25,16,1,would have been calling
1,1,1,2,are
1,1,2,2,will be
1,1,3,2,was
1,1,4,2,would be
1,1,5,2,are being
1,1,6,2,will be being
1,1,7,2,were being
1,1,8,2,would be being
1,1,9,2,have been
1,1,10,2,will have been
1,1,11,2,had been
1,1,12,2,would have been
1,1,13,2,have been being
1,1,14,2,will have been being
1,1,15,2,had been being
1,1,16,2,would have been being
1,2,1,2,have
1,2,2,2,will have
1,2,3,2,had
1,2,4,2,would have
1,2,5,2,are having
1,2,6,2,will be having
1,2,7,2,were having
1,2,8,2,would be having
1,2,9,2,have had
1,2,10,2,will have had
1,2,11,2,had had
1,2,12,2,would have had
1,2,13,2,have been having
1,2,14,2,will have been having
1,2,15,2,had been having
1,2,16,2,would have been having
1,3,1,2,do
1,3,2,2,will do
1,3,3,2,did
1,3,4,2,would do
1,3,5,2,are doing
1,3,6,2,will be doing
1,3,7,2,were doing
1,3,8,2,would be doing
1,3,9,2,have done
1,3,10,2,will have done
1,3,11,2,had done
1,3,12,2,would have done
1,3,13,2,have been doing
1,3,14,2,will have been doing
1,3,15,2,had been doing
1,3,16,2,would have been doing
1,4,1,2,say
1,4,2,2,will say
1,4,3,2,said
1,4,4,2,would say
1,4,5,2,are saying
1,4,6,2,will be saying
1,4,7,2,were saying
1,4,8,2,would be saying
1,4,9,2,have said
1,4,10,2,will have said
1,4,11,2,had said
1,4,12,2,would have said
1,4,13,2,have been saying
1,4,14,2,will have been saying
1,4,15,2,had been saying
1,4,16,2,would have been saying
1,5,1,2,get
1,5,2,2,will get
1,5,3,2,got
1,5,4,2,would get
1,5,5,2,are getting
1,5,6,2,will be getting
1,5,7,2,were getting
1,5,8,2,would be getting
1,5,9,2,have got
1,5,10,2,will have got
1,5,11,2,had got
1,5,12,2,would have got
1,5,13,2,have been getting
1,5,14,2,will have been getting
1,5,15,2,had been getting
1,5,16,2,would have been getting
1,6,1,2,make
1,6,2,2,will make
1,6,3,2,made
1,6,4,2,would make
1,6,5,2,are making
1,6,6,2,will be making
1,6,7,2,were making
1,6,8,2,would be making
1,6,9,2,have made
1,6,10,2,will have made
1,6,11,2,had made
1,6,12,2,would have made
1,6,13,2,have been making
1,6,14,2,will have been making
1,6,15,2,had been making
1,6,16,2,would have been making
1,7,1,2,go
1,7,2,2,will go
1,7,3,2,went
1,7,4,2,would go
1,7,5,2,are going
1,7,6,2,will be going
1,7,7,2,were going
1,7,8,2,would be going
1,7,9,2,have gone
1,7,10,2,will have gone
1,7,11,2,had gone
1,7,12,2,would have gone
1,7,13,2,have been going
1,7,14,2,will have been going
1,7,15,2,had been going
1,7,16,2,would have been going
1,8,1,2,know
1,8,2,2,will know
1,8,3,2,knew
1,8,4,2,would know
1,8,5,2,are knowing
1,8,6,2,will be knowing
1,8,7,2,were knowing
1,8,8,2,would be knowing
1,8,9,2,have known
1,8,10,2,will have known
1,8,11,2,had known
1,8,12,2,would have known
1,8,13,2,have been knowing
1,8,14,2,will have been knowing
1,8,15,2,had been knowing
1,8,16,2,would have been knowing
1,9,1,2,take
